Start Point,End Point,Spoofed Point,Basic Route Length,Spoofed Route Length,Overlapping Route Length,Overlap Percentage
"(-0.1287262852491042, 51.528120870546545)","(-0.14660626176027666, 51.51989653705107)","(-0.12743847897419303, 51.529375157357684)",2016.7879999999998,2825.7619999999997,2016.7879999999998,100.0
"(-0.141142902320551, 51.52248758832859)","(-0.12314899849104718, 51.53032453630905)","(-0.14175601247490102, 51.5231117551523)",2999.9990000000003,3088.034,2999.9990000000003,100.0
"(-0.12169698161626612, 51.521393300817394)","(-0.13707991524657687, 51.519838762884355)","(-0.12141198643534107, 51.52298484158047)",3000.568,2132.6600000000003,1899.2309999999998,63.29571601110189
"(-0.14394959935995746, 51.522804796489886)","(-0.14244463399244658, 51.52396513788967)","(-0.14559692207434144, 51.52301494211031)",1022.6489999999999,1052.9999999999998,830.2760000000001,81.18875586833802
"(-0.13119240458978787, 51.52769887330765)","(-0.12410144119198292, 51.5274601713294)","(-0.129588373225685, 51.525898731314)",862.5199999999999,855.7429999999999,0,0.0
"(-0.14442856520699768, 51.52956703445762)","(-0.1362526653593381, 51.5211111928851)","(-0.14342643506773525, 51.53016515078905)",1729.1490000000001,1895.4959999999999,1508.755,87.25419266934196
"(-0.14583743155749979, 51.52874730428425)","(-0.1436400547246804, 51.51967498969617)","(-0.1447358016941883, 51.530055749033686)",1292.05,1889.1809999999994,724.407,56.06648349522077
"(-0.12544934730647184, 51.52743604584129)","(-0.12057180080328501, 51.51635238098261)","(-0.1251025649822309, 51.526670101334865)",1531.8590000000002,1521.8570000000002,1476.3100000000002,96.37375241454991
"(-0.13235772822029898, 51.53165042107775)","(-0.14052703531715013, 51.5239193537747)","(-0.13311107057364982, 51.531675468138246)",2025.0449999999998,2025.0449999999998,2025.0449999999998,100.0
"(-0.123134789729062, 51.51624371235866)","(-0.12288011120358848, 51.52637505476292)","(-0.1246211642156647, 51.515903941679255)",1745.8570000000002,1610.6000000000001,1599.51,91.61746924289903
"(-0.14456865688419512, 51.519187347661635)","(-0.13407776833533266, 51.523814645172514)","(-0.14326999307093835, 51.518183043075005)",1140.71,1311.381,492.79900000000004,43.20107652251668
"(-0.13699022383476023, 51.52342971982264)","(-0.12561613742248548, 51.525805176946484)","(-0.1359280818642594, 51.523467976587035)",1287.234,1609.002,761.2060000000001,59.13501352512442
"(-0.13941861443334783, 51.532523246814115)","(-0.13933632603224372, 51.532505926441715)","(-0.14086110333614332, 51.53307372295965)",0,83.27199999999999,0,100
"(-0.1248333977412412, 51.52433858615677)","(-0.14298467350677732, 51.52006511965556)","(-0.12441231385932432, 51.52368717175429)",2061.2799999999997,2603.144,1208.341,58.62090545680354
"(-0.13704250458176667, 51.51581263080777)","(-0.12043126399103952, 51.5308449373159)","(-0.13593380913878958, 51.51490458571088)",3479.2499999999995,3415.364,3415.364,98.16379966946901
"(-0.1238650606292675, 51.530068518292396)","(-0.11989710746780156, 51.52913204771492)","(-0.12216648516058064, 51.53071030906243)",491.312,750.7280000000001,333.945,67.9700475461621
"(-0.1278609559507833, 51.528447361225595)","(-0.14123515344646642, 51.51674189721151)","(-0.12615025389933926, 51.5281730361538)",2072.4389999999994,2273.8619999999996,2072.4389999999994,100.0
"(-0.12890353739847127, 51.528758604392216)","(-0.14579265656157453, 51.52698615806896)","(-0.12737689934134172, 51.52952971359969)",1661.647,1807.3129999999999,1638.648,98.61589134154246
"(-0.11981173995870742, 51.53035087212293)","(-0.12184637704977541, 51.51739091355898)","(-0.12123684682932079, 51.5302166488067)",2295.696,2193.76,2193.76,95.55969083014477
"(-0.14394623876843562, 51.519902223668424)","(-0.14220023520348518, 51.516992426695886)","(-0.14558125702854766, 51.52064589868898)",548.3950000000001,513.1200000000001,359.912,65.6300659196382
"(-0.13855728111117402, 51.52237681912583)","(-0.14035490585820154, 51.524414318567494)","(-0.14031422169559363, 51.52137331498586)",1120.2920000000001,801.306,271.335,24.220024779253976
"(-0.13898691509109337, 51.5237366275905)","(-0.12398910870888236, 51.52801499731691)","(-0.1400424326668771, 51.52360954175551)",1923.1589999999999,2377.9200000000005,109.965,5.7179359584932925
"(-0.12801239331586267, 51.528362880801545)","(-0.141211706415451, 51.52230711470914)","(-0.12639264111742446, 51.528882724319914)",1788.139,1940.062,1788.139,100.0
"(-0.1268215454977943, 51.526498658080854)","(-0.1443279712716641, 51.52852417530422)","(-0.12670621739278842, 51.52503365950654)",2099.384,2210.91,1522.5400000000004,72.52317822751819
"(-0.13737700469511305, 51.51675083594884)","(-0.1457381342973405, 51.51959643719532)","(-0.13596567662618964, 51.51618145485528)",895.352,1147.5180000000003,66.31,7.406025786506314
"(-0.1457813287083303, 51.525468675748535)","(-0.1215964288165593, 51.52116918944514)","(-0.14531567444600602, 51.52592990076999)",2720.382,2788.524,2720.382,100.0
"(-0.14278466921512245, 51.52211918313067)","(-0.14398290864205046, 51.5192874746457)","(-0.1429116297501096, 51.52173529602406)",472.65000000000003,472.65000000000003,472.65000000000003,100.0
"(-0.14392189550693704, 51.52472786763855)","(-0.12428895930462655, 51.521416504761554)","(-0.14344336958733642, 51.52651948599112)",1889.9129999999998,2046.276,1838.796,97.29527232205928
"(-0.1265663904491574, 51.52394412521974)","(-0.1268345347587208, 51.516920414256525)","(-0.1259447683739633, 51.52387545500786)",1217.737,1255.8750000000002,705.936,57.97113826712993
"(-0.12006359826813438, 51.52193136849815)","(-0.12845001952227328, 51.52704153481714)","(-0.11966909226377066, 51.52283885147406)",2386.713,1391.5729999999996,0,0.0
"(-0.13568968542015664, 51.525324824770024)","(-0.1425143504022456, 51.52360265993735)","(-0.13409294616074108, 51.52505388125801)",705.2990000000001,875.784,537.224,76.16968122739434
"(-0.1295684279502352, 51.52560615597208)","(-0.12598181977943834, 51.52800333331844)","(-0.13082399074496037, 51.52622235415266)",945.7760000000001,1187.1309999999999,797.542,84.32673275701646
"(-0.14486059565850487, 51.53073211580735)","(-0.13134759440118146, 51.51992146480021)","(-0.1449093550387449, 51.531395699600445)",1984.05,2070.0289999999995,1911.395,96.33804591618154
"(-0.12633182831486536, 51.51815007578603)","(-0.12468882630955296, 51.52672471557307)","(-0.1276963862374942, 51.51707964204699)",1426.3670000000002,1655.02,1054.8639999999998,73.954599342245
"(-0.14104658350296156, 51.516303328705305)","(-0.12175268647038191, 51.51723120033923)","(-0.14010905228536027, 51.51674685585477)",2354.287,1929.8760000000002,398.14199999999994,16.911362123649322
"(-0.139452831907949, 51.5187754137772)","(-0.14243424334926455, 51.51643509261796)","(-0.141051367895869, 51.520211778149566)",442.295,574.7040000000001,264.62300000000005,59.82952554290689
"(-0.14561847570110442, 51.5324452552326)","(-0.13303201766096506, 51.52203422518927)","(-0.1456194163448106, 51.53395423603377)",2009.3509999999997,2009.3509999999997,2009.3509999999997,100.0
"(-0.13571893626416287, 51.52571645607624)","(-0.1446376724980154, 51.522835003171224)","(-0.1357402518625223, 51.52664015824679)",1411.381,1361.346,518.394,36.72955778772705
"(-0.14442980986409065, 51.521122655897905)","(-0.12082050671414023, 51.5301375996264)","(-0.14571613012485046, 51.52109302601158)",3267.735,3363.143,2906.417,88.94286103371294
"(-0.13089335265297247, 51.52947361895543)","(-0.143048949303323, 51.51574403906958)","(-0.13223665775248394, 51.53110306433013)",2565.2949999999996,2570.9659999999994,2366.8309999999997,92.26350185846073
"(-0.14544970723719697, 51.51935524899854)","(-0.1433125943930897, 51.521386980899585)","(-0.1452486392787254, 51.51947749382288)",472.877,472.877,472.877,100.0
"(-0.12047511935173823, 51.52162888800346)","(-0.1230866579272783, 51.51727990469876)","(-0.1195877653852902, 51.52098934166608)",892.9689999999999,930.639,892.9689999999999,100.0
"(-0.12872915078052383, 51.533507271899346)","(-0.14106305350701592, 51.52251917539588)","(-0.12746371162207332, 51.53520471014686)",2019.869,2019.869,2019.869,100.0
"(-0.1407953291061304, 51.53039514252544)","(-0.12756359366590106, 51.5259693438742)","(-0.141837394613476, 51.53139233401863)",1674.607,1886.8210000000004,1674.607,100.0
"(-0.1447372581773737, 51.51705492600679)","(-0.12258225951885265, 51.527791441539335)","(-0.14524585144725882, 51.51718267871333)",3779.425999999999,3425.0639999999994,3425.0639999999994,90.62392014025411
"(-0.14701689922951955, 51.51937007803085)","(-0.14584265423074697, 51.520879383579846)","(-0.14687595869715028, 51.518960085298076)",584.083,584.083,584.083,100.0
"(-0.12255329081382287, 51.529669591924495)","(-0.14134461566161965, 51.519052679773715)","(-0.12363367557514653, 51.528290394675295)",2354.362,2359.017,2257.8079999999995,95.89893143025581
"(-0.13977688903580213, 51.516684572646916)","(-0.13742783792467705, 51.526846352634124)","(-0.1388919290568848, 51.5184438017514)",1834.0709999999995,1600.598,1454.6319999999998,79.31165151185533
"(-0.12284066084927242, 51.5196232745404)","(-0.11989268678597928, 51.51948897969855)","(-0.12308061305048171, 51.517860824308976)",301.419,300.28599999999994,110.972,36.81652450575445
"(-0.14284367277878388, 51.52210901992257)","(-0.13879550374387736, 51.53254412522648)","(-0.14206304738905848, 51.52248109633296)",2223.885,2272.8370000000004,2139.8890000000006,96.223006135659
"(-0.1306966133378423, 51.52722702744496)","(-0.13285304958068453, 51.516229601424314)","(-0.12990654113249417, 51.5262011891195)",1923.0610000000001,1846.457,493.17100000000005,25.64510434146395
"(-0.13865573996009775, 51.52945924016564)","(-0.13508320830061407, 51.516021772627916)","(-0.13971941799241752, 51.52868106339453)",2171.2969999999996,1931.9119999999996,1931.9119999999996,88.97502276289241
"(-0.1326039176587724, 51.52105265222682)","(-0.12291900879911834, 51.519590352470445)","(-0.1321269679903522, 51.52044202314891)",962.215,962.215,962.215,100.0
"(-0.1398136931440367, 51.516357712463936)","(-0.14564692163284335, 51.51961277545082)","(-0.14092418521372982, 51.51594175113784)",712.1759999999999,656.085,558.628,78.43959920019772
"(-0.12238167332226911, 51.527747836083556)","(-0.12221187465752499, 51.52828093874311)","(-0.1227980662348557, 51.52801480649189)",89.256,89.256,89.256,100.0
"(-0.14462472391688938, 51.51914366947812)","(-0.12051326509357292, 51.516377686103276)","(-0.14395381733548226, 51.51956407599633)",3180.2899999999995,3088.003,2518.553,79.19255791138545
"(-0.12469624634762715, 51.526131706705314)","(-0.1348161489347147, 51.53100862225185)","(-0.12325658556842138, 51.52517606042235)",1579.084,1561.546,1481.691,93.83231037740867
"(-0.14258652751938583, 51.51843647774927)","(-0.12274442177689375, 51.52444004695974)","(-0.14351548503301967, 51.5183422839854)",2783.003,2712.594,2712.594,97.47003506643722
"(-0.12140699389643442, 51.52771075085555)","(-0.12209379074227888, 51.52800899167264)","(-0.12005626192784712, 51.528572592898065)",0,2173.836,0,100
"(-0.14335346529320842, 51.51791839724883)","(-0.14097329724733454, 51.522561780651216)","(-0.14385420014049075, 51.516766512131035)",1105.194,1139.6160000000002,1026.052,92.83908526466847
"(-0.14469829077083587, 51.51684453995219)","(-0.12424567618241358, 51.519011326707414)","(-0.14327043791248165, 51.516386783185396)",2196.164,1968.376,1674.626,76.2523199542475
"(-0.12953848183665428, 51.51963368645569)","(-0.13433494027728116, 51.51799728494782)","(-0.1304436894771004, 51.51829132955061)",1468.7289999999998,1702.866,1468.7289999999998,100.0
"(-0.12693121529734555, 51.523879555008726)","(-0.12382794105337863, 51.53004975139952)","(-0.1253118828052755, 51.52504638198889)",1789.0149999999999,1159.8129999999999,310.08799999999997,17.332889886334097
"(-0.12451617104452789, 51.52616843547903)","(-0.1442196531820058, 51.52489237448647)","(-0.12565833853702982, 51.527548044373574)",2562.6879999999987,1563.703,896.907,34.998681072374026
"(-0.142338498299501, 51.519216362600915)","(-0.134962536779819, 51.53155777645933)","(-0.14384508248018743, 51.51827376646834)",2763.089,2899.126,2098.9759999999997,75.96483500893383
"(-0.14321325959017828, 51.52466876363301)","(-0.14435537171875634, 51.52934903767404)","(-0.14336359446816713, 51.523809479746056)",620.698,657.461,418.32,67.39509391040409
"(-0.13860917396465605, 51.52481043126308)","(-0.12289189379306735, 51.529313576366874)","(-0.13724776106250122, 51.524867125116536)",2016.924,2054.789,2016.924,100.0
"(-0.1385944838308352, 51.522174165151505)","(-0.12783133832859608, 51.52190034810968)","(-0.13930334521204202, 51.52348635296165)",1295.085,1426.9560000000001,1295.085,100.0
"(-0.14607102671675537, 51.51919409109246)","(-0.14291897710565293, 51.52580656210683)","(-0.14753131263000432, 51.519620269475425)",1183.278,1468.0649999999998,1183.278,100.0
"(-0.1372232877274347, 51.51913802699817)","(-0.13779188511517684, 51.51856448471161)","(-0.13877340514542122, 51.51967241767064)",57.864999999999995,936.0550000000001,57.864999999999995,100.0
"(-0.13720095479849892, 51.521536607649416)","(-0.12690944730743603, 51.5223465877814)","(-0.13562361246280924, 51.52195106009757)",1287.5520000000001,1084.345,985.66,76.55302465453822
"(-0.1333295294594161, 51.52602384221783)","(-0.14147179859107156, 51.52371693459854)","(-0.13313986304593692, 51.52603708163878)",728.67,728.67,728.67,100.0
"(-0.1411554288629929, 51.51805894885493)","(-0.12711829413096248, 51.51653645840473)","(-0.14206208745438578, 51.517202985424966)",1299.629,1313.4499999999998,1259.4569999999999,96.90896401973178
"(-0.12145007342530946, 51.519281831946806)","(-0.1266437446497291, 51.52081358643786)","(-0.12237311767943146, 51.52099705494584)",548.51,1260.1589999999999,548.51,100.0
"(-0.14337164026148325, 51.523093336834506)","(-0.12812490245214836, 51.5176908988665)","(-0.14476687064674507, 51.52202525689793)",1809.659,1967.982,1450.767,80.16797639776333
"(-0.13771233676575872, 51.518593944038756)","(-0.13545891264944407, 51.51916111922045)","(-0.13633104282949732, 51.5179077126862)",160.712,366.538,160.712,100.0
"(-0.14153569411112493, 51.51799150032666)","(-0.13751539473698549, 51.524120309942546)","(-0.14081659614309502, 51.51652788923687)",1070.7250000000001,1219.141,1070.7250000000001,100.0
"(-0.12272360440578621, 51.53059983698495)","(-0.13489808159818611, 51.532376787332346)","(-0.12261956222431919, 51.530990064825026)",1801.1789999999996,1979.1479999999997,1667.0589999999997,92.55376617204621
"(-0.14245410166599137, 51.52270877874848)","(-0.1382050497319375, 51.52515804376128)","(-0.14239821561103222, 51.52314536835349)",694.883,694.883,694.883,100.0
"(-0.1476749131708494, 51.51691827886648)","(-0.14678179698665667, 51.516708595094784)","(-0.14935959660041934, 51.517407074836676)",842.5400000000002,768.9490000000001,768.9490000000001,91.26557789541148
"(-0.14441882433467806, 51.529528726789444)","(-0.12132343861923482, 51.520863512361)","(-0.1449113286701263, 51.528967331739196)",2998.3450000000003,3172.3690000000006,1851.0140000000001,61.73452354548926
"(-0.14414778148633928, 51.518276965226924)","(-0.13919836464891014, 51.52716758070501)","(-0.14244034885268217, 51.518820545848456)",1795.106,1813.716,1030.061,57.38162537476895
"(-0.13835843613547097, 51.52200521447371)","(-0.13993115758734273, 51.518257743518234)","(-0.13985554695423247, 51.520453933355824)",875.7039999999998,1001.8190000000001,282.46,32.255191251838525
